vectorAddCPU took 203 milliseconds to execute.
grid_size:1 block_size:1 vectorAddCUDASerial took 10285 milliseconds to execute.
cpu and gpu max diff:0
grid_size,block_size,elasped_time,max_diff
67108864,1,993,0
33554431,2,549,0
22369620,3,423,0
16777215,4,432,0
13421772,5,311,0
11184809,6,252,0
9586979,7,224,0
8388607,8,239,0
7456539,9,298,0
6710885,10,269,0
6100804,11,171,0
5592404,12,161,0
5162219,13,167,0
4793489,14,183,0
4473923,15,187,0
4194303,16,195,0
3947579,17,187,0
3728269,18,181,0
3532044,19,180,0
3355442,20,165,0
3195659,21,126,0
3050401,22,175,0
2917775,23,142,0
2796201,24,144,0
2684353,25,167,0
2581109,26,127,0
2485512,27,155,0
2396744,28,140,0
2314097,29,118,0
2236961,30,215,0
2164801,31,161,0
2097151,32,223,0
2033600,33,127,0
1973789,34,113,0
1917395,35,168,0
1864134,36,134,0
1813752,37,110,0
1766021,38,122,0
1720739,39,119,0
1677720,40,142,0
1636800,41,109,0
1597829,42,112,0
1560670,43,164,0
1525200,44,147,0
1491307,45,112,0
1458887,46,107,0
1427847,47,121,0
1398100,48,119,0
1369567,49,124,0
1342176,50,103,0
1315859,51,162,0
1290554,52,137,0
1266204,53,161,0
1242755,54,139,0
1220160,55,108,0
1198371,56,110,0
1177347,57,122,0
1157048,58,105,0
1137437,59,119,0
1118480,60,105,0
1100144,61,137,0
1082400,62,121,0
1065219,63,121,0
1048575,64,157,0
1032443,65,151,0
1016799,66,116,0
1001623,67,110,0
986894,68,117,0
972591,69,136,0
958697,70,113,0
945194,71,121,0
932066,72,109,0
919298,73,112,0
906875,74,104,0
894783,75,161,0
883010,76,161,0
871542,77,127,0
860369,78,127,0
849478,79,114,0
838859,80,119,0
828503,81,128,0
818399,82,151,0
808539,83,128,0
798914,84,112,0
789515,85,160,0
780334,86,149,0
771365,87,119,0
762599,88,115,0
754031,89,112,0
745653,90,125,0
737459,91,100,0
729443,92,121,0
721599,93,118,0
713923,94,118,0
706408,95,109,0
699049,96,109,0
691842,97,121,0
684783,98,109,0
677866,99,130,0
671087,100,108,0
664443,101,119,0
657929,102,101,0
651541,103,118,0
645276,104,160,0
639131,105,161,0
633101,106,160,0
627184,107,131,0
621377,108,106,0
615676,109,135,0
610079,110,160,0
604583,111,137,0
599185,112,108,0
593882,113,117,0
588673,114,160,0
583554,115,127,0
578523,116,106,0
573579,117,160,0
568718,118,152,0
563939,119,104,0
559239,120,109,0
554617,121,120,0
550071,122,159,0
545599,123,143,0
541199,124,122,0
536869,125,112,0
532609,126,135,0
528415,127,109,0
524287,128,122,0
520222,129,105,0
516221,130,126,0
512280,131,127,0
508399,132,126,0
504576,133,122,0
500811,134,124,0
497101,135,161,0
493446,136,154,0
489844,137,114,0
486295,138,117,0
482796,139,109,0
479348,140,128,0
475948,141,111,0
472596,142,116,0
469291,143,102,0
466032,144,113,0
462818,145,126,0
459648,146,113,0
456521,147,154,0
453437,148,130,0
450394,149,116,0
447391,150,111,0
444428,151,105,0
441504,152,120,0
438619,153,110,0
435770,154,124,0
432959,155,113,0
430184,156,130,0
427444,157,100,0
424738,158,128,0
422067,159,110,0
419429,160,111,0
416824,161,125,0
414251,162,116,0
411709,163,147,0
409199,164,112,0
406719,165,161,0
404269,166,150,0
401848,167,102,0
399456,168,129,0
397092,169,110,0
394757,170,114,0
392448,171,123,0
390166,172,111,0
387911,173,122,0
385682,174,119,0
383478,175,117,0
381299,176,107,0
379145,177,119,0
377015,178,103,0
374908,179,160,0
